,name,price,brend,url,voltage,country,capacity
143,Аккумулятор GS 40-12 12V 40Ah (12В 40Ач),,General Security,https://www.wildberries.ru/catalog/148018209/detail.aspx,12.0,Китай,40.0
144,Аккумуляторная батарея GS 12В 12АЧ для ИБП,,General Security,https://www.wildberries.ru/catalog/142614080/detail.aspx,12.0,Китай,12.0
145,Аккумуляторная батарея Kiper UPS-12360 F2 12V/8Ah,,Kiper Power,https://www.wildberries.ru/catalog/142543789/detail.aspx,12.0,Китай,8.0
146,Аккумулятор 12V DT 12012,,DELTA BATTERY,https://www.wildberries.ru/catalog/42952627/detail.aspx,12.0,Китай,1.2
147,Аккумулятор CGD 1212 12v 12Ah,,DELTA BATTERY,https://www.wildberries.ru/catalog/41606603/detail.aspx,12.0,Китай,12.0
148,Аккумулятор свинцово-кислотный GoPower LA-1212 12V 1.2Ah,,GoPower,https://www.wildberries.ru/catalog/43523876/detail.aspx,12.0,Китай,12.0
149,Аккумулятор BT 1218 12V 18Ah 12В 18Ач,,Battbee,https://www.wildberries.ru/catalog/95655032/detail.aspx,12.0,Китай,18.0
150,Аккумулятор 12V вольт 17Ah - SF 1217,,Security Force,https://www.wildberries.ru/catalog/34858114/detail.aspx,,Китай,17.0
151,"Аккумулятор Delta DTM 12008 12V (0,8 Ач)",,DELTA BATTERY,https://www.wildberries.ru/catalog/102300775/detail.aspx,12.0,Китай,0.8
152,Аккумулятор BT 1218 12v 18Ah,,Battbee,https://www.wildberries.ru/catalog/91110304/detail.aspx,12.0,Китай,18.0
153,Аккумулятор BT 12012 12v 1.2ah,,Battbee,https://www.wildberries.ru/catalog/91110313/detail.aspx,12.0,Китай,1.2
154,Аккумулятор CK 1212 12v 12Ah,,Восток,https://www.wildberries.ru/catalog/41823443/detail.aspx,12.0,Китай,12.0
155,Аккумулятор свинцово-кислотный GoPower LA-1270 12V 7Ah,,GoPower,https://www.wildberries.ru/catalog/141586382/detail.aspx,12.0,Китай,7.0
156,"Аккумуляторная батарея КОНТАКТ КТ 12-2.2, 12 В 2.2 Ач",,,https://www.wildberries.ru/catalog/145869020/detail.aspx,12.0,Вьетнам,2.2
157,Аккумуляторная батарея Рубин 12V 200Ah AGM для ИБП,,Рубин Электротехническая компания,https://www.wildberries.ru/catalog/136420255/detail.aspx,12.0,Китай,200.0
158,Аккумуляторная батарея Рубин 12V 150Ah AGM для ИБП,,Рубин электротехническая компания,https://www.wildberries.ru/catalog/223910943/detail.aspx,,Китай,150.0
159,Аккумулятор Prometheus Energy PE 1212 (12Ah 12V) для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223673789/detail.aspx,12.0,Китай,12.0
160,Аккумулятор Prometheus Energy PE 1212L (12Ah 12V) для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223673793/detail.aspx,12.0,Китай,12.0
161,Аккумулятор Prometheus Energy PE 1234W (9Ah 12V) для ИБП,,Prometheus Energy,https://www.wildberries.ru/catalog/223673784/detail.aspx,12.0,Китай,9.0
162,Аккумулятор 12v 7 Ah F1/T1 для пожарной сигнализации,,Thomas,https://www.wildberries.ru/catalog/166716196/detail.aspx,12.0,Китай,7.0
163,Аккумуляторная батарея Kiper UPS-12360 F2 12V/8Ah,,Kiper Power,https://www.wildberries.ru/catalog/176195775/detail.aspx,,,
164,Аккумуляторная батарея КТ 12-17 12V 17А/ч Контакт,,unisistem,https://www.wildberries.ru/catalog/157028705/detail.aspx,12.0,Вьетнам,17.0
